"행정구역별","산업별",2021.1/2,2021.2/2,2022.1/2
"대구 달서구","농업, 임업 및 어업 (A)",2.2,1.9,2.2
"대구 달서구","광·제조업(B,C)",65.5,63.2,66.3
"대구 달서구","건설업 (F) ",20.0,21.1,21.3
"대구 달서구","도소매·음식숙박업(G,I)",48.7,47.6,47.7
"대구 달서구","전기·운수·통신·금융(D,H,J,K)",25.0,26.3,26.1
"대구 달서구","사업·개인·공공서비스 및 기타(E,L~U)",106.4,107.6,105.2
"대구 달성군","계",131.7,139.3,138.5
"대구 달성군","농업, 임업 및 어업 (A)",9.9,10.8,10.6
"대구 달성군","광·제조업(B,C)",42.1,42.6,42.4
"대구 달성군","건설업 (F) ",8.0,9.0,9.8
"대구 달성군","도소매·음식숙박업(G,I)",19.5,21.2,18.6
"대구 달성군","전기·운수·통신·금융(D,H,J,K)",13.7,13.3,13.1
"대구 달성군","사업·개인·공공서비스 및 기타(E,L~U)",38.5,42.4,44.0
"인천 중구","계",71.3,73.3,75.0
"인천 중구","농업, 임업 및 어업 (A)",1.2,0.8,0.6
"인천 중구","광·제조업(B,C)",8.8,9.2,8.8
"인천 중구","건설업 (F) ",5.6,4.9,5.1
"인천 중구","도소매·음식숙박업(G,I)",13.5,13.3,15.5
"인천 중구","전기·운수·통신·금융(D,H,J,K)",13.4,14.5,16.2
"인천 중구","사업·개인·공공서비스 및 기타(E,L~U)",28.9,30.7,28.7
"인천 동구","계",31.1,31.7,30.8
"인천 동구","농업, 임업 및 어업 (A)",0.1,0.1,0.1
"인천 동구","광·제조업(B,C)",6.0,6.9,6.2
"인천 동구","건설업 (F) ",2.1,2.1,2.0
"인천 동구","도소매·음식숙박업(G,I)",7.2,7.1,7.0
"인천 동구","전기·운수·통신·금융(D,H,J,K)",4.0,3.9,4.0
"인천 동구","사업·개인·공공서비스 및 기타(E,L~U)",11.7,11.6,11.6
"인천 연수구","계",192.9,199.9,198.3
"인천 연수구","농업, 임업 및 어업 (A)",0.2,0.2,0.3
"인천 연수구","광·제조업(B,C)",40.8,43.7,44.3
"인천 연수구","건설업 (F) ",18.3,18.3,18.5
"인천 연수구","도소매·음식숙박업(G,I)",34.3,34.9,32.5
"인천 연수구","전기·운수·통신·금융(D,H,J,K)",24.0,25.0,25.5
"인천 연수구","사업·개인·공공서비스 및 기타(E,L~U)",75.4,77.8,77.2
"인천 남동구","계",256.7,262.5,261.8
"인천 남동구","농업, 임업 및 어업 (A)",0.8,0.7,0.4
"인천 남동구","광·제조업(B,C)",57.5,56.7,54.6
"인천 남동구","건설업 (F) ",19.3,21.5,21.1
"인천 남동구","도소매·음식숙박업(G,I)",47.7,49.3,49.0
"인천 남동구","전기·운수·통신·금융(D,H,J,K)",31.7,33.1,32.3
"인천 남동구","사업·개인·공공서비스 및 기타(E,L~U)",99.7,101.2,104.5
"인천 부평구","계",245.7,254.6,256.9
"인천 부평구","농업, 임업 및 어업 (A)",0.1,0.1,0.3
"인천 부평구","광·제조업(B,C)",42.3,44.2,44.4
"인천 부평구","건설업 (F) ",19.9,20.4,24.1
"인천 부평구","도소매·음식숙박업(G,I)",56.6,56.2,56.2
"인천 부평구","전기·운수·통신·금융(D,H,J,K)",33.8,37.7,37.7
"인천 부평구","사업·개인·공공서비스 및 기타(E,L~U)",92.9,95.9,94.3
"인천 계양구","계",151.3,152.4,154.7
"인천 계양구","농업, 임업 및 어업 (A)",0.5,0.3,0.4
"인천 계양구","광·제조업(B,C)",28.5,28.4,28.8
"인천 계양구","건설업 (F) ",14.0,14.0,13.2
"인천 계양구","도소매·음식숙박업(G,I)",30.4,30.0,31.2
"인천 계양구","전기·운수·통신·금융(D,H,J,K)",23.1,23.7,24.7
"인천 계양구","사업·개인·공공서비스 및 기타(E,L~U)",54.7,55.9,56.4
"인천 서구","계",280.0,286.0,302.6
"인천 서구","농업, 임업 및 어업 (A)",0.6,0.8,-
"인천 서구","광·제조업(B,C)",64.2,66.2,70.3
"인천 서구","건설업 (F) ",24.3,24.7,29.2
"인천 서구","도소매·음식숙박업(G,I)",50.8,47.6,50.1
"인천 서구","전기·운수·통신·금융(D,H,J,K)",43.9,44.4,43.7
"인천 서구","사업·개인·공공서비스 및 기타(E,L~U)",96.3,102.4,109.2
"인천 미추홀구","계",207.5,218.0,217.3
"인천 미추홀구","농업, 임업 및 어업 (A)",0.3,-,0.5
"인천 미추홀구","광·제조업(B,C)",35.5,38.3,38.3
"인천 미추홀구","건설업 (F) ",21.0,21.6,18.7
"인천 미추홀구","도소매·음식숙박업(G,I)",44.3,45.5,41.4
"인천 미추홀구","전기·운수·통신·금융(D,H,J,K)",28.2,30.8,30.7
"인천 미추홀구","사업·개인·공공서비스 및 기타(E,L~U)",78.1,81.8,87.7
"인천 강화군","계",38.3,39.4,38.7
"인천 강화군","농업, 임업 및 어업 (A)",12.5,13.1,12.5
"인천 강화군","광·제조업(B,C)",3.4,3.5,3.6
"인천 강화군","건설업 (F) ",2.4,2.7,2.8
"인천 강화군","도소매·음식숙박업(G,I)",5.7,5.3,5.5
"인천 강화군","전기·운수·통신·금융(D,H,J,K)",2.9,2.7,2.7
"인천 강화군","사업·개인·공공서비스 및 기타(E,L~U)",11.5,12.1,11.7
"인천 옹진군","계",11.9,12.1,12.3
"인천 옹진군","농업, 임업 및 어업 (A)",2.0,2.0,1.8
